#{"t_start": 1762623701.537952, "env_id": "LunarLander-v3"}
r,l,t
-21.19774,155,70.266448
68.508258,130,70.363399
20.811381,214,70.602412
-24.287493,177,70.722513
33.698875,173,70.834152
17.22776,180,70.952123
-4.763532,172,71.064197
22.981668,81,71.118592
-11.862954,158,71.22216
14.977051,156,71.337122
8.92707,208,71.477537
10.734139,172,71.586471
-0.731164,166,71.710921
8.767044,164,71.835764
22.163475,88,71.989113
12.126381,196,72.121878
-2.162641,180,72.239754
31.955113,153,72.337938
20.412419,163,72.447949
43.125671,203,72.582673
4.652396,180,72.701069
10.387353,133,72.786911
-6.098188,153,72.890417
14.71667,161,72.994346
26.555371,135,73.08667
-1.089248,157,73.241882
24.933148,118,73.416969
-6.640705,162,73.537872
-2.209039,186,73.660149
29.371904,185,73.783655
25.718656,166,73.895263
10.631936,89,73.952416
4.083241,169,74.060116
-9.221196,159,74.168043
7.240769,203,74.303935
2.369129,75,74.35055
3.047257,205,74.486794
3.826237,173,74.64391
-1.22694,137,74.759444
40.627449,152,74.959558
35.159064,78,75.011217
-37.616927,201,75.147251
-28.106257,209,75.286086
-31.947591,176,75.399223
-78.553564,172,75.507612
7.295694,73,75.555002
-107.953647,206,75.686528
17.96645,178,75.803998
-85.470147,186,75.924674
-47.584502,128,76.003577
-5.762204,112,76.086112
31.767401,156,76.201509
-21.10141,148,76.400145
40.973606,162,76.505777
-13.265207,130,76.586745
-16.309074,138,76.680675
-76.50319,163,76.784763
-18.229647,180,76.89958
31.635653,125,76.983154
59.875441,164,77.084698
34.046148,178,77.198747
30.330368,174,77.320463
-2.615663,139,77.407838
269.659585,282,77.657085
20.12153,140,77.848468
-0.889446,161,77.954007
19.759796,141,78.046147
18.230272,149,78.141527
-15.32128,164,78.248691
-56.937593,176,78.363549
-42.656399,168,78.476546
-3.313593,176,78.59721
2.354452,165,78.711078
12.358463,146,78.805785
54.699276,157,78.906349
-52.782664,140,79.010202
-126.62702,218,79.173309
30.628213,180,79.391675
-22.248856,148,79.490222
53.250528,84,79.548722
-24.899225,158,79.667896
170.024896,241,79.832211
-52.637165,193,79.961653
32.634878,171,80.072985
196.413339,324,80.292382
-23.269933,220,80.471326
-2.689777,200,80.735343
-66.669859,317,80.947883
-130.263369,398,81.21129
-67.743959,407,81.483431
186.531433,434,81.774288
262.970862,390,82.060268
-1.379636,272,82.350784
-150.327185,810,82.897481
-137.627444,1000,83.641677
208.697769,578,84.124035
-26.10286,1000,84.804026
-50.991693,1000,85.605109
-167.949872,772,86.114457
164.960025,587,86.57587
173.542998,634,87.147149
186.984121,724,87.660126
-209.833023,888,88.387394
-34.786499,1000,89.049054
-2.214854,1000,89.884089
-50.118614,1000,90.55466
178.441209,674,91.026186
91.696301,806,91.676374
132.337038,612,92.090322
158.534311,818,92.817958
82.810623,981,93.495301
103.512296,881,94.102709
23.12579,1000,94.863907
149.385663,904,95.512783
-112.513359,619,96.033615
146.394101,581,96.414937
207.671942,473,96.746533
-23.625094,1000,97.546094
184.072716,470,97.861387
-51.127842,505,98.196806
-21.996646,1000,99.035733
226.908583,569,99.423172
138.564009,489,99.779634
235.179286,380,100.066044
31.319144,218,100.31145
