#{"t_start": 1762458577.333108, "env_id": "LunarLander-v3"}
r,l,t
243.447245,273,194.348193
243.303268,331,194.524834
234.998282,254,194.651958
245.755909,314,194.832612
268.65356,823,196.252568
43.802989,196,196.364087
241.553339,265,197.548976
266.675281,328,197.731214
245.525968,265,197.877094
41.491801,294,198.617263
-34.833,138,198.694117
9.148819,163,198.772864
-13.277805,183,198.876391
279.481308,246,198.998536
250.76017,413,200.043828
31.985876,292,200.167614
6.310715,213,200.259125
242.169977,260,200.37051
-0.602551,176,201.121563
229.479797,380,201.311968
246.519567,288,201.457602
137.785099,687,202.592429
259.466214,271,202.744693
234.577355,310,204.130217
184.900018,503,204.707247
245.602972,307,205.095831
261.800907,356,206.538215
238.83567,257,206.683971
246.254751,250,206.815132
246.060823,240,206.982067
264.06046,252,208.072943
259.747117,277,208.235927
242.908713,338,208.42734
275.298853,251,208.56314
242.997451,287,209.744531
231.158247,245,209.937795
-8.616075,151,210.054803
236.487704,315,210.301533
277.099894,275,211.272772
247.916542,243,211.41916
273.714741,266,211.57911
8.816883,336,212.794036
260.323237,280,212.943475
7.471847,226,213.057919
29.357895,179,213.148673
265.950406,223,213.261382
-23.619997,168,214.138777
282.920875,229,214.245883
271.495311,245,214.360096
246.613177,259,214.480115
280.62704,309,215.27755
274.204748,226,215.383622
54.556917,134,215.447381
242.644268,253,215.586681
243.727696,241,215.76332
272.616794,218,216.492502
271.828256,249,216.610551
266.125407,312,216.766121
249.123582,297,217.565644
271.279608,199,217.681904
7.066238,223,217.954263
290.925644,296,218.1394
263.460232,244,218.314767
-6.591964,197,219.307952
15.276518,170,219.399553
251.271355,302,219.564486
-133.23563,565,220.751589
244.113921,229,220.904597
240.590535,346,221.184517
246.023765,222,221.348896
244.026558,241,222.263123
2.167168,208,222.370611
235.90892,228,222.49104
217.25676,668,223.534758
238.474055,276,223.681451
273.228644,303,223.844317
267.138267,236,224.706265
239.712982,891,225.205231
248.957688,223,226.210425
254.245408,241,226.343352
261.001645,235,226.471123
30.495013,165,226.560382
232.470331,244,227.417875
251.624467,229,227.536932
21.034073,177,227.628558
202.909871,305,227.787538
288.348371,316,228.687508
230.092872,238,228.812257
298.578104,327,229.005399
160.31216,1000,230.396155
247.105875,235,230.523195
292.955108,291,231.849909
253.922287,313,232.200143
-9.706761,224,232.406175
247.495039,253,232.646377
271.5153,247,233.992113
252.042609,432,234.224298
258.04731,215,234.33875
132.5358,1000,235.634297
265.058989,265,235.784852
1.325341,213,236.6146
227.425889,224,236.729983
21.143277,191,236.83074
249.218393,286,236.973831
-34.951621,422,237.939703
243.957834,235,238.101991
211.990804,354,238.303874
-7.336131,239,239.253567
-42.385744,195,239.357758
253.779258,308,239.515375
2.857534,156,239.596003
275.95911,245,239.721608
284.226779,315,240.499572
180.31015,606,240.823418
7.326416,217,241.631855
31.528339,157,241.718861
251.035695,270,241.855121
88.157769,1000,243.072216
238.716515,240,243.197924
17.226092,181,243.286222
262.887477,349,244.208585
287.041181,232,244.32878
176.708625,755,245.502322
211.531644,630,245.839602
137.514527,1000,247.130364
29.094398,200,247.235062
-164.888565,356,248.281097
253.33054,247,248.413611
-3.312013,163,248.500344
242.565214,259,248.635304
250.93668,273,249.495146
277.659253,273,249.637013
267.590643,256,249.771757
25.954433,209,249.885571
36.408387,231,250.931028
201.601657,398,251.13114
8.160708,200,251.236416
197.972758,627,252.260791
248.581029,236,252.380231
240.198231,289,252.52673
246.705658,311,253.325331
198.985877,316,253.484674
191.948569,517,253.743463
269.839212,259,254.501059
262.762232,262,254.63134
262.106259,250,254.762646
6.96403,222,254.877467
236.20144,271,255.714879
256.401996,245,255.844734
139.586761,1000,257.330516
209.465927,271,257.471385
267.444603,245,257.600284
235.824414,241,258.65598
246.418918,294,258.809085
260.523271,310,258.970172
264.614527,265,259.810448
252.973917,302,259.974119
-7.548191,201,260.078974
24.965143,184,260.168323
225.887757,222,260.282856
256.850242,247,261.088962
106.318539,1000,262.354028
24.112184,169,262.456886
2.759227,171,262.547933
-17.939384,160,262.63845
232.648739,333,262.825323
247.00364,251,263.668216
254.282867,294,263.829937
261.172676,271,263.972215
279.60113,209,264.08154
7.920396,133,264.970781
16.17752,175,265.061893
241.117364,458,265.307706
262.226882,285,265.456006
17.974732,176,266.384123
17.560582,304,266.553976
258.741304,271,266.710172
-61.95674,197,266.820049
266.910134,320,267.921329
231.575393,346,268.106895
271.95713,212,268.228159
176.878701,753,269.604793
208.94742,258,269.741206
-52.818455,1000,271.002822
220.283734,284,271.143989
248.083444,288,272.156773
233.725179,280,272.296317
286.609239,281,272.433606
-31.193167,236,273.160333
247.410768,267,273.302662
246.41619,426,273.507715
195.555159,247,273.635664
258.147166,288,274.421362
133.944669,1000,276.029682
-15.055068,238,276.176808
-21.987726,163,276.263287
225.341901,251,276.406278
258.892314,326,277.356408
254.076911,360,277.578575
190.009313,284,277.745969
224.404914,334,278.69227
10.966101,273,278.846254
125.564744,1000,280.155183
97.528717,1000,281.428674
161.419277,430,281.646185
250.895963,350,282.619773
245.740738,330,282.798069
-37.246526,241,282.952274
194.05618,283,283.24229
260.378452,320,284.353913
95.744731,1000,285.520095
238.660271,273,285.657429
273.355993,346,285.842097
258.862793,329,286.818433
-32.876326,294,286.972323
251.471248,332,287.142681
-35.337737,179,287.230862
263.513017,319,288.071512
238.493356,243,288.206799
275.510954,263,288.340021
2.360375,179,288.429888
184.617881,852,289.702401
-8.665222,166,289.795284
293.58124,371,290.844175
-100.491391,600,291.174696
265.519724,422,292.359513
192.925147,254,292.506266
-64.275105,243,292.625344
212.546708,264,293.398107
158.578795,549,293.694157
224.128973,255,293.827001
213.060302,451,294.806664
262.37392,572,295.11675
11.838301,189,295.218609
258.272237,275,296.205394
275.750882,258,296.337464
-57.908328,180,296.428353
218.95577,339,297.207116
-51.835511,217,297.32003
150.750091,1000,298.572514
260.808468,286,298.718328
153.019147,592,299.718747
98.451801,1000,301.037636
257.603227,355,301.239731
-78.434871,252,301.373472
285.705301,350,301.554829
-6.177613,273,302.523486
254.006656,414,302.73294
228.711021,316,302.90171
263.373786,324,303.785483
217.454965,545,304.08323
-65.910272,380,305.096133
-43.718464,244,305.220964
188.989542,348,305.403593
-103.380992,409,306.395809
145.387796,554,306.679504
246.506085,592,307.714059
266.726864,308,307.885506
71.617701,1000,309.38324
288.32844,290,309.542633
188.642213,342,310.415334
212.414447,304,310.586252
267.403227,337,310.764828
289.196338,263,311.762211
-6.582738,211,311.8867
257.063129,299,312.039752
205.075639,310,312.199997
-84.756324,1000,313.382132
-12.315858,216,314.113842
246.582551,239,314.232281
142.050618,765,315.26095
251.610276,231,315.380687
229.542688,269,315.514106
263.998126,236,315.633406
236.169899,327,316.419208
20.284302,236,316.534379
-31.236061,188,316.631929
273.09438,249,316.761678
209.820094,294,316.908483
228.909095,277,317.714573
-15.483218,147,317.790538
0.236843,220,317.917327
256.63572,247,318.045435
-3.650828,162,318.879477
262.115365,272,319.029735
50.902217,180,319.121207
-26.628167,136,319.194456
257.116144,231,319.309374
25.897607,180,320.128947
254.802834,245,320.260452
218.243811,245,320.394682
233.801969,353,320.579756
229.136847,337,321.556391
264.425964,259,321.683902
28.803794,182,321.779307
-26.46367,199,321.893901
256.471902,243,322.694958
275.925934,186,322.795759
128.520918,1000,324.014636
235.743061,380,324.212393
236.438055,211,324.319743
25.004189,172,324.406262
10.273392,200,325.209276
-13.263452,166,325.294395
264.231398,402,325.512778
250.737999,248,325.642572
210.800376,350,326.611777
-16.9579,186,326.707135
250.332423,245,326.83289
272.575044,264,326.966194
225.367968,259,327.819249
-29.25076,263,327.955316
268.550722,510,328.212867
-30.064784,166,328.997937
-5.838545,212,329.108218
272.174924,207,329.213526
265.998655,241,329.337653
243.257053,652,330.451331
-19.487347,180,330.549447
230.025488,235,330.689502
247.284306,225,331.841522
19.082363,152,332.083008
233.777467,235,332.420201
14.634319,185,332.543341
232.679685,238,332.700262
246.846115,204,333.536945
242.791183,223,333.659212
20.499622,147,333.735092
243.843019,202,333.841773
251.513562,296,334.043077
5.436396,140,334.218554
209.640152,267,335.125843
22.448927,155,335.208498
41.066437,150,335.302601
224.560506,318,335.662395
0.619273,151,336.435947
271.765349,231,336.555032
276.060181,211,336.666318
123.262492,584,337.98167
227.880666,298,338.142462
257.245319,235,338.279482
-3.698384,152,338.366988
252.068112,242,338.597634
254.743053,225,339.342023
254.589376,303,339.497799
197.313481,260,339.639698
-9.048558,164,339.751227
255.339651,207,340.624594
260.165963,306,340.783103
246.322607,271,340.926923
-15.458145,157,341.022579
245.684608,213,341.150567
